Description,Brand,Model,S/N,Quantity,Remark
Loundspeaker,ELECTRO VOICE,ETX12P,40586-254180-12000-73,1,
Loundspeaker,ELECTRO VOICE,ETX12P,40586-254550-11000-27,1,
Loundspeaker,ELECTRO VOICE,ETX12P,40566-254550-11000-28,1,
Loundspeaker,ELECTRO VOICE,ETX12P,40586-254180-12000-72,1,
Loundspeaker,ELECTRO VOICE,ETX12P,45086-254550-1100-,1,
Loundspeaker,ELECTRO VOICE,ETX12P,45086-254550-1100-42,1,
Loundspeaker,ELECTRO VOICE,ETX12P,45086-254550-1100-26,1,
Loundspeaker,ELECTRO VOICE,ETX12P,45086-254550-1100-,1,
Loundspeaker,ELECTRO VOICE,ETX12P,40586-2541901-0600-39,1,
Loundspeaker,ELECTRO VOICE,ETX12P,45086-254550-1100-,1,
Loundspeaker,ELECTRO VOICE,ETX12P,4508625455011000-33,1,
Loundspeaker,ELECTRO VOICE,ETX12P,45086-254550-1100-48,1,
Loundspeaker,ELECTRO VOICE,ETX12P,4058625419010600-54,1,
Loundspeaker,ELECTRO VOICE,ETX12P,4058624180200-70,1,
Loundspeaker,ELECTRO VOICE,ETX12P,4058625418012000-67,1,
Loundspeaker,ELECTRO VOICE,ETX12P,4058625418012000-40,1,
Loundspeaker,ELECTRO VOICE,ETX12P,4058625455011000-36,1,
Loundspeaker,ELECTRO VOICE,ETX12P,4058625557012300-11,1,
Loundspeaker,ELECTRO VOICE,ETX15P,4058627454011100-61,1,
Loundspeaker,ELECTRO VOICE,ETX15P,4058627455011500-69,1,
Loundspeaker,ELECTRO VOICE,ETX15P,4058627455011500-50,1,
Loundspeaker,ELECTRO VOICE,ETX15P,40586274559011100-02,1,
Loundspeaker,ELECTRO VOICE,ETX15P,405867558012900-09,1,
Loundspeaker,ELECTRO VOICE,ETX15P,405867559011100-05,1,
Loundspeaker,ELECTRO VOICE,ETX15P,4058627559011100-06,1,
Loundspeaker,BOSE,820 Speaker,323331,1,
Loundspeaker,BOSE,820 Speaker,323164,1,
Loundspeaker,BOSE,820 Speaker,323317,1,
Loundspeaker,BOSE,820 Speaker,026488960680296AE,1,
Loundspeaker,BOSE,820 Speaker,026488960680343AE,1,
Loundspeaker,BOSE,820 Speaker,040092980310164AE,1,
Loundspeaker,BOSE,820 Speaker,040092980310151AE,1,
Loundspeaker,BOSE,820 Speaker,040092951470024AE,1,
Loundspeaker,BOSE,820 Speaker,040092950560025AE,1,
Loundspeaker,BOSE,820 Speaker,040092951680009AE,1,
Loundspeaker,BOSE,820 Speaker,040092951330014AE,1,
Loundspeaker,BOSE,820 Speaker,026488951930021AE,1,
Loundspeaker,BOSE,820 Speaker,040092942030095AE,1,
Loundspeaker,BOSE,820 Speaker,02648861350437AE,1,
Loundspeaker,BOSE,820 Speaker,026488922810299AE,1,
Loundspeaker,BOSE,820 Speaker,0400928031070AE,1,
Loundspeaker,BOSE,820 Speaker,02688942010044AE,1,
Loundspeaker,BOSE,820 Speaker,026488096135612AE,1,
Loundspeaker,BOSE,820 Speaker,026488940770723AE,1,
Loundspeaker,BOSE,820 Speaker,040092951330014AE,1,
Loundspeaker,BOSE,820 Speaker,0264884940770720AE,1,
Loundspeaker,BOSE,820 Speaker,026488941520079AE,1,
Loundspeaker,BOSE,820 Speaker,040092980310126AE,1,
Loundspeaker,BOSE,820 Speaker,026488712990607AE,1,
Loundspeaker,BOSE,Panaray802 LL,026488960680296AE,1,
Loundspeaker,BOSE,Panaray802 LL,026488960680343AE,1,
Loundspeaker,BOSE,Panaray802 LL,040092980310164AE,1,
Loundspeaker,BOSE,Panaray802 LL,040092980310151AE,1,
Loundspeaker,BOSE,Panaray802 LL,040092951470024AE,1,
Loundspeaker,BOSE,Panaray802 LL,040092950560025AE,1,
Loundspeaker,BOSE,Panaray802 LL,040092951680009AE,1,
Loundspeaker,BOSE,Panaray802 LL,040092951330014AE,1,
Loundspeaker,FBT,J8,37689J8A-48U055U0276,1,
Loundspeaker,FBT,J8,37689J8A-50T191T0116,1,
Loundspeaker,FBT,J8,37689J8A-50T191T0112,1,
Loundspeaker,FBT,J8,37689J8A-48U055U0289,1,
Loundspeaker,FBT,J8,37689J8A-48U055U0272 ,1,
Loundspeaker,FBT,J8,37689J8A-50T191T0115 ,1,
Loundspeaker,FBT,J8,37689J8A-48U055U0277 ,1,
Loundspeaker,FBT,J8,37689J8A-48U055U0266,1,
Loundspeaker,NEXO,PS10,07300-3842,1,
Loundspeaker,NEXO,PS10,07200-6077,1,
Loundspeaker,NEXO,PS10,107300-6111,1,
Loundspeaker,NEXO,PS10,107300-3835,1,
Studio Monitor,RCFAYRA STUDIO MONITOR,RCFAYRA STUDIO MONITOR,UCLM-01172,1,
Studio Monitor,RCFAYRA STUDIO MONITOR,RCFAYRA STUDIO MONITOR,UCLQ-01171,1,
Portable Speaker,SHERMAN,APS-155,01095401f7,1,
Portable Speaker,SHERMAN,APS-155,01095401f5,1,
Powered Subwoofer,MEYER SOUND,700-HP,,2,
Powered Subwoofer,MEYER SOUND,650P,5470928,1,
Powered Subwoofer,MEYER SOUND,650P,5470930,1,
Column speaker,K-ARRAY ,pinnacle-KR102I,KR1004910712,1,
Column speaker,K-ARRAY ,pinnacle-KR102I,KR1004910702,1,
Column speaker,K-ARRAY ,pinnacle-KR102I,KL12MA4210732,1,
Column speaker,K-ARRAY ,pinnacle-KR102I,KL12MA5110886,1,
Column speaker,K-ARRAY ,pinnacle-KR202,KK102-K036A1382B,1,
Column speaker,K-ARRAY ,pinnacle-KR202,KK102-K036A1388B,1,
Column speaker,K-ARRAY ,pinnacle-KR202,KK102-K036A0379B,1,
Column speaker,K-ARRAY ,pinnacle-KR202,KK102-K036A0380B,1,
Column speaker,K-ARRAY ,pinnacle-KR202,KMT18-K032A00050B,1,
Column speaker,K-ARRAY ,pinnacle-KR202,KMT18-K032A00023B,1,
Stage Monitor,ELECTRO VOICE,ZXA-1,10147M0887,1,
Stage Monitor,ELECTRO VOICE,ZXA-1,10236M0393,1,
Stage Monitor,ELECTRO VOICE,ZXA-1,10236M0391,1,
Stage Monitor,ELECTRO VOICE,ZXA-1,0,1,
Stage Monitor,ELECTRO VOICE,ZXA-1,09570-69239-9981-0018,1,
Stage Monitor,ELECTRO VOICE,ZXA-1,09570-69137-9004-0008,1,
Stage Monitor,ELECTRO VOICE,ZXA-1,09570-69239-9981-0023,1,
Stage Monitor,ELECTRO VOICE,ZXA-1,09570-61394-6800-0019,1,
Stage Monitor,ELECTRO VOICE,ZXA-1,09570-69237-3077-0058,1,
Stage Monitor,ELECTRO VOICE,ZXA-1,09570-69239-9981-0019,1,
Stage Monitor,ELECTRO VOICE,ZXA-1,09570-69239-9981-0012,1,
Stage Monitor,ELECTRO VOICE,ZXA-1,09750-69137-9004-0011,1,
Stage Monitor,ELECTRO VOICE,ZXA-1,09570-69239-9981-0031,1,
Stage Monitor,ELECTRO VOICE,ZXA-1,09570-69453-2878-0032,1,
Stage Monitor,ELECTRO VOICE,ZXA-1,09570-69453-2878-0020,1,
Stage Monitor,ELECTRO VOICE,ZXA-1,09570-69212-5770-0009,1,
Stage Monitor,ELECTRO VOICE,ZXA-1,09570-69212-5770-0013,1,
Stage Monitor,ELECTRO VOICE,ZXA-1,09750-69137-9004-0003,1,
Stage Monitor,ELECTRO VOICE,ZXA-1,09570-69211-6753-0015,1,
Stage Monitor,ELECTRO VOICE,ZXA-1,09570-69137-9004-0004,1,
Stage Monitor,FBT,StageMaxX 12 MA,12U052V0181,1,
Stage Monitor,FBT,StageMaxX 12 MA,12U052V0182,1,
Stage Monitor,FBT,StageMaxX 12 MA,12U052V0184,1,
Stage Monitor,FBT,StageMaxX 12 MA,12U052V0186,1,
Stage Monitor,FBT,StageMaxX 12 MA,12U052V0187,1,
Stage Monitor,FBT,StageMaxX 12 MA,12U052V0188,1,
Stage Monitor,FBT,StageMaxX 12 MA,12U052V0189,1,
Stage Monitor,FBT,StageMaxX 12 MA,12U052V0190,1,
Wireless Microphone,Shure,Axient ADHQ Receiver,,28,
Wireless Microphone,Shure,SBRC Rack Mount Charger,3RD0858194,1,
Wireless Microphone,Shure,SBRC Rack Mount Charger,3RD0858195,1,
Wireless Microphone,Shure,UA 847 WB Direction Antenna,,6,
Wireless Microphone,Shure,Handheld,AD2-2QJ1294327,1,
Wireless Microphone,Shure,Handheld,AD2-2QJ2744572,1,
Wireless Microphone,Shure,Handheld,AD2-2QJ1264348,1,
Wireless Microphone,Shure,Handheld,AD2-2QJ1294327,1,
Wireless Microphone,Shure,Handheld,AD2-2QJ2744568,1,
Wireless Microphone,Shure,Handheld,AD2-2QJ1294323,1,
Wireless Microphone,Shure,Handheld,,1,
Wireless Microphone,Shure,Handheld,,1,
Wireless Microphone,Shure,Handheld,2AB10691470,1,
Wireless Microphone,Shure,Handheld,2AB10691571,1,
Wireless Microphone,Shure,Handheld,2AB10692471,1,
Wireless Microphone,Shure,Handheld,2AB10691658,1,
Wireless Microphone,Shure,Handheld,2AB10692433,1,
Wireless Microphone,Shure,Handheld,2AB10692407,1,
Wireless Microphone,Shure,Handheld,2AB10691242,1,
Wireless Microphone,Shure,Handheld,2AB10691583,1,
Wireless Microphone,Shure,Handheld,2AB10691432,1,
Wireless Microphone,Shure,Handheld,2AB10692457,1,
Wireless Microphone,Shure,Handheld,2AB10691331,1,
Wireless Microphone,Shure,Handheld,2AB10691266,1,
Wireless Microphone,Shure,Handheld,2AB10691216,1,
Wireless Microphone,Shure,Handheld,2AB10691533,1,
Wireless Microphone,Shure,Handheld,2AB10691379,1,
Wireless Microphone,Shure,Handheld,2AB10691280,1,
Wireless Microphone,Shure,Handheld,2AB10691305,1,
Wireless Microphone,Shure,Handheld,2AB10691329,1,
Wireless Microphone,Shure,Handheld,2AB10692469,1,
Wireless Microphone,Shure,Handheld,2AB10691278,1,
Wireless Microphone,Shure,Bodypack,2RE2350746,1,
Wireless Microphone,Shure,Bodypack,2RE2350745,1,
Wireless Microphone,Shure,Bodypack,2RE2350736,1,
Wireless Microphone,Shure,Bodypack,2RE2350756,1,
Wireless Microphone,Shure,Bodypack,2RE2350747,1,
Wireless Microphone,Shure,Bodypack,2RE2350752,1,
Wireless Microphone,Shure,Bodypack,2RE2350755,1,
Wireless Microphone,Shure,Bodypack,2RE2350749,1,
Wireless Microphone,Shure,Bodypack,2AB16739649,1,
Wireless Microphone,Shure,Bodypack,2AB16739246,1,
Wireless Microphone,Shure,Bodypack,2AB16740072,1,
Wireless Microphone,Shure,Bodypack,2AB16739839,1,
Wireless Microphone,Shure,Bodypack,2AB16739219,1,
Wireless Microphone,Shure,Bodypack,2AB16740010,1,
Wireless Microphone,Shure,Bodypack,2AB16740109,1,
Wireless Microphone,Shure,Bodypack,2AB16739269,1,
Wireless Microphone,Shure,Bodypack,,1,
Wireless Microphone,Shure,Bodypack,,1,
Wireless Microphone,Shure, SLXD24/SM58,3CD27300-9700,2,
Wireless Microphone,Shure, SLXD24/SM58,3TK12320-4776,2,
Wireless Microphone,Shure, SLXD24/SM58,3TJ14789936,2,
Wireless Microphone,Shure, SLXD24/SM58,3CD2730-9914,2,
Wireless Microphone,Shure, SLXD24/SM58,3DH23788560,2,
Wireless Microphone,Shure, SLXD24/SM58,3DH23788724,2,
Wireless Microphone,Shure, SLXD24/SM58,3DH23787696,2,
Wireless Microphone,Shure, SLXD24/SM58,3DH23787658,2,
Wireless Microphone,Shure, SLXD24/SM58,3DH23787735,2,
Wireless Microphone,Shure, SLXD24/SM58,3DH23787684,2,
Wireless Microphone,Shure, SLXD24/SM58,3AE18184015,1,
Wireless Microphone,Shure, SLXD24/SM58,3AD29491547,1,
Wireless Microphone,Shure, SLXD24/SM58,3AD09042780,1,
Wireless Microphone,Shure, SLXD24/SM58,3AD29491484,1,
Wireless Microphone,Shure, SLXD24/SM58,3AE27997701,1,
Wireless Microphone,Shure, SLXD24/SM58,3AC02625838,1,
Wireless Microphone,Shure, SLXD24/SM58,3AC02625852,1,
Wireless Microphone,Shure, SLXD24/SM58,3AC02625864,1,
Wireless Microphone,Shure, SLXD24/SM58,3AD29491460,1,
Wireless Microphone,Shure, SLXD24/SM58,3AA04525584,1,
Wireless Microphone,Shure, SLXD24/SM58,3AC02628398,1,
Wireless Microphone,Shure, SLXD24/SM58,3AC02625876,1,
Wireless Microphone,Shure, SLXD24/SM58,3AE18484421,1,
Wireless Microphone,Shure, SLXD24/SM58,3AA04524254,1,
Wireless Microphone,Shure, SLXD24/SM58,3AD09049042,1,
Wireless Microphone,Shure, SLXD24/SM58,3AA04525421,1,
Wireless Microphone,Shure,SLXD1 Beltpack Transmitter,3CL01868590,1,
Wireless Microphone,Shure,SLXD1 Beltpack Transmitter,3CL01868463,1,
Wireless Microphone,Shure,SLXD1 Beltpack Transmitter,3CL01868398,1,
Wireless Microphone,Shure,SLXD1 Beltpack Transmitter,3CL01868386,1,
Wireless Microphone,Shure,SLXD1 Beltpack Transmitter,3CL0186594,1,
Wireless Microphone,Shure,SLXD1 Beltpack Transmitter,3CL0186595,1,
Digital Plug On Transmitter,Shure,PLUG ON ADX3 Transmitter,3DB07837956,1,
Digital Plug On Transmitter,Shure,PLUG ON ADX3 Transmitter,3DB04492538,1,
